filename	post_id	photo_id	url
kazan-garage-01.jpg	-77208683_199	-77208683_457239317	https://sun9-84.vkuserphoto.ru/s/v1/ig2/HbqTY00mf4NfuGoQIA-JOK68zcnWrdkva1UJK2SbXfgtfL1tBnAmYKKLgGncdUDwSS1D-thoZyvx6XHgijFxR9Q6.jpg?quality=95&as=32x24,48x36,72x54,108x81,160x120,240x180,360x270,480x360,540x405,640x480,720x540,1080x810,1280x960,1440x1080,2560x1920&from=bu&u=POOSumWwrlksh5fafYOEH0IpV8oBZmFYkr0-lMIR6kc&cs=360x0
kazan-garage-03.jpg	-77208683_199	-77208683_457239320	https://sun9-65.vkuserphoto.ru/s/v1/ig2/q-Dye8pr53BmgfLg1Yt0J2geCyUHR0at_lEzHGXkz6fzKQG2aPGO_8FdLIAU1EjA6hBgRXEEKVm5Uov4GGG3J23n.jpg?quality=95&as=32x24,48x36,72x54,108x81,160x120,240x180,360x270,480x360,540x405,640x480,720x540,1080x810,1280x960,1440x1080,2560x1920&from=bu&u=P_cdcwl_7Aj3NKYS2j8wNSAs7eEslcbai_zpjjOx6Xo&cs=360x0
kazan-garage-05.jpg	-77208683_199	-77208683_457239322	https://sun9-71.vkuserphoto.ru/s/v1/ig2/pbX3BpiBx06RPvyHmaJqLDeiQcaYsLVaB1BlFloBRkwPibQytorrnNbyCSFG1UEel15gW0XhQ34BAhxDJLvt7cbw.jpg?quality=95&as=32x24,48x36,72x54,108x81,160x120,240x180,360x270,480x360,540x405,640x480,720x540,1080x810,1280x960&from=bu&u=3MubAgZjtd23Nz0Mi9QoHx090bWQgNQlCfH_oSA9c4Y&cs=360x0
kazan-garage-06.jpg	-77208683_199	-77208683_457239323	https://sun9-46.vkuserphoto.ru/s/v1/ig2/JWwSfXQbPPZWfyFxgAG5Kc-UFER6iKgWQKv5vy01fPSZqzG4j4hPx8_Qkr-sv_nTJ7x-kpnPNedXfVdJUvuA47RF.jpg?quality=95&as=32x23,48x34,72x51,108x77,160x113,240x170,360x255,480x340,540x383,640x453,720x510,1080x765,1280x907&from=bu&u=3lzFVC3XvJjOhAIH-tbbmTEeZvD4C0cGawlg76sdwG4&cs=360x0
kazan-garage-07.jpg	-77208683_199	-77208683_457239324	https://sun9-51.vkuserphoto.ru/s/v1/ig2/ccCLm8ts8dAbTN7cOaPxZ8-iVWvHbUxMv-121ktoYibNydPXWN_GmrDkkfHBYFerKPNwYI0ETUPrTlemX28Y3OB_.jpg?quality=95&as=32x20,48x30,72x45,108x67,160x99,240x149,360x224,480x298,540x336,640x398,720x448,1080x671,1229x764&from=bu&u=DqYHGJI1UD2vwRPcmwPtx201xmV5UwXndD-EZXV6BX4&cs=360x0
kazan-garage-08.jpg	-77208683_199	-77208683_457239325	https://sun9-3.vkuserphoto.ru/s/v1/ig2/1vfxHffBil2oIBR9o-oSAc0_5r7xuSfs5PcZokqs1XWbXf34Ngn0no3wAPMjGNcD-7DGP0rY4cCn6F6NFM1xeo8N.jpg?quality=95&as=32x24,48x36,72x54,108x81,160x120,240x180,360x270,480x360,540x405,640x480,720x540,1080x810,1280x960,1440x1080,1680x1260&from=bu&u=HnTuIw-x74NWgXjeaytVb-bzXSTC4U0RFJf-jpLjltM&cs=360x0
kazan-garage-09.jpg	-77208683_199	-77208683_457239326	https://sun9-21.vkuserphoto.ru/s/v1/ig2/rKRYMrzbde3HNdqm4maeCU_BDUc9D5SmFEzYnwHfiS99pEu9z9thu3qYJMgRwTQneq9wMz02CAmYTjtiEOBIjTrh.jpg?quality=95&as=32x24,48x36,72x54,108x81,160x120,240x180,360x269,480x359,540x404,640x479,720x539,1080x808,1280x957,1440x1077,2560x1915&from=bu&u=wsHLQrs7A3NfdnTkNpIFd-NbMuHc-6ZmGma91eBm8Ck&cs=360x0
chelni-garage-01.jpg	-77208683_201	-77208683_457239328	https://sun9-12.vkuserphoto.ru/s/v1/ig2/qofsyjabgLAXLYx4Z0QlstL3nqH_zb756BJO4bv4N4PK-KDqVNSSRLaUOmbAYIqOegmx_y_KRmagHRMvbglK7gJP.jpg?quality=95&crop=0,0,2560,1898&as=32x24,48x36,72x53,108x80,160x119,240x178,360x267,480x356,540x400,640x474,720x534,1080x801,1280x949,1440x1068,2560x1898&from=bu&u=7Le0AxvOjXyJ5-YXiecvGcTfB35OkJTOJCnPa6RFUK4&cs=640x0
chelni-garage-02.jpg	-77208683_201	-77208683_457239329	https://sun9-5.vkuserphoto.ru/s/v1/ig2/NvagchJJx76-RDDoMVmDqsITqMD1ZLF3olfm-Kn2NVtZ4qXOUtOmu5lvILeKkTkrfNK5lZ-fWTAGnT2_wFdwq7CT.jpg?quality=95&as=32x24,48x36,72x54,108x81,160x120,240x181,360x271,480x361,540x407,640x482,720x542,1080x813,1280x964,1440x1084,2560x1928&from=bu&u=Il4FwQu_eQ--ChxysOzl0x2tIEk8A9A6r8zD7hFTCz4&cs=640x0
roof-details-01.jpg	-77208683_200	-77208683_457239327	https://sun9-68.vkuserphoto.ru/s/v1/ig2/1yeExB4aWXlGW425fdbAqBekbAzNBuDLgFzhP3Zxe-abRyjcYIzOmOtKhmVLd56U_tr1DziBNatBhgwhKCgzREQs.jpg?quality=95&as=32x24,48x36,72x54,108x81,160x120,240x180,360x270,480x360,540x405,640x480,720x540,1080x810,1280x960,1440x1080,2560x1920&from=bu&u=fHRzRz5kdtAM4xT3M06Stt0EckIda633BNH967kYMgA&cs=640x0
